Mouse ID,Date,Trial,Transit Time (s),Footfall Errors,Notes
6566,1/24/23,1,142,8,
6570,1/24/23,1,91,0,
6570,1/27/23,2,19,0,
6570,1/27/23,3,120,6,mouse ends up at the start
6572,1/27/23,1,129,24,
6566,1/31/23,2,30,1,
6567,1/31/23,1,69,8,
6568,1/31/23,1,72,7,
6570,1/31/23,4,26,1,
6572,1/31/23,2,43,6,
6566,2/6/23,3,20,2,
6567,2/6/23,2,34,9,
6568,2/6/23,2,39,0,
6570,2/6/23,5,98,2,
6572,2/6/23,3,176,8,
6566,2/16/23,4,10,0,
6567,2/16/23,3,32,9,
6568,2/16/23,3,20,2,
6570,2/16/23,6,20,3,
6572,2/16/23,4,87,6,
6599,2/16/23,1,56,2,
6600,2/16/23,1,63,1,
6601,2/16/23,1,33,1,
6604,2/16/23,1,81,2,
6566,2/23/23,5,11,0,
6567,2/23/23,4,77,9,
6568,2/23/23,4,26,5,
6570,2/23/23,7,14,2,
6572,2/23/23,4,126,8,
6599,2/23/23,2,16,0,
6600,2/23/23,2,13,1,
6601,2/23/23,2,49,2,
6601,2/23/23,3,58,3,
6604,2/23/23,2,29,7,
6567,3/2/23,5,30,8,
6566,3/2/23,6,36,5,mouse ends up at the start
6568,3/2/23,5,33,3,
6570,3/2/23,8,116,1,
6572,3/2/23,5,126,6,
6599,3/2/23,3,11,0,
6600,3/2/23,3,16,0,
6601,3/2/23,4,21,2,
6604,3/2/23,3,54,2,
6566,3/15/23,7,9,0,
6567,3/15/23,6,22,4,
6568,3/15/23,6,26,2,
6570,3/15/23,9,22,0,
6572,3/15/23,6,18,8,
6599,3/15/23,4,12,1,
6600,3/15/23,4,13,2,
6601,3/15/23,5,28,3,
6604,3/15/23,4,50,2,
7059,5/11/23,1,16,3,
7067,5/11/23,1,194,5,
7115,5/11/23,1,24,3,
7059,5/15/23,2,9,0,
7067,5/15/23,2,11,0,
7115,5/15/23,2,18,2,